X[Hz],R[Vpk],I[Vpk],Mag[Vpk],P[deg]
0.00E+00,-7.09E-05,8.20E-08,7.09E-05,1.80E+02
2.00E+00,-5.00E-05,4.18E-06,5.02E-05,1.75E+02
4.00E+00,-1.76E-05,4.20E-06,1.81E-05,1.67E+02
6.00E+00,-4.34E-06,-5.29E-07,4.37E-06,-1.73E+02
8.00E+00,-2.03E-06,-5.92E-06,6.26E-06,-1.09E+02
1.00E+01,-2.05E-06,-8.30E-06,8.55E-06,-1.04E+02
1.20E+01,-3.84E-06,-8.18E-06,9.04E-06,-1.15E+02
1.40E+01,-5.59E-06,-5.47E-06,7.82E-06,-1.36E+02
1.60E+01,-6.33E-06,-1.14E-06,6.43E-06,-1.70E+02
1.80E+01,-5.82E-06,1.08E-06,5.92E-06,1.69E+02
2.00E+01,-3.70E-06,5.79E-07,3.75E-06,1.71E+02
2.20E+01,-1.74E-06,5.30E-08,1.74E-06,1.78E+02
2.40E+01,-1.51E-06,1.46E-06,2.10E-06,1.36E+02
2.60E+01,-2.90E-06,3.01E-06,4.18E-06,1.34E+02
2.80E+01,-3.88E-06,1.25E-06,4.07E-06,1.62E+02
3.00E+01,-3.32E-06,-2.54E-06,4.18E-06,-1.43E+02
3.20E+01,-2.10E-06,-3.41E-06,4.01E-06,-1.22E+02
3.40E+01,8.15E-07,-1.10E-06,1.37E-06,-5.35E+01
3.60E+01,4.04E-06,3.99E-08,4.04E-06,5.66E-01
3.80E+01,3.37E-06,-3.37E-07,3.38E-06,-5.72E+00
4.00E+01,7.66E-07,4.93E-07,9.11E-07,3.28E+01
4.20E+01,3.11E-07,1.44E-06,1.48E-06,7.78E+01
4.40E+01,8.46E-07,9.40E-07,1.26E-06,4.80E+01
4.60E+01,6.11E-07,4.86E-07,7.81E-07,3.85E+01
4.80E+01,-2.34E-07,1.07E-06,1.10E-06,1.02E+02
5.00E+01,-1.52E-06,1.39E-06,2.06E-06,1.38E+02
5.20E+01,-2.43E-06,8.04E-07,2.56E-06,1.62E+02
5.40E+01,-1.32E-06,1.22E-06,1.80E-06,1.37E+02
5.60E+01,5.61E-06,5.32E-06,7.73E-06,4.34E+01
5.80E+01,2.05E-05,1.40E-05,2.49E-05,3.44E+01
6.00E+01,2.95E-05,1.92E-05,3.52E-05,3.31E+01
6.20E+01,1.98E-05,1.32E-05,2.39E-05,3.37E+01
6.40E+01,5.51E-06,4.53E-06,7.14E-06,3.94E+01
6.60E+01,-2.81E-07,1.36E-06,1.39E-06,1.02E+02
6.80E+01,-1.00E-06,8.63E-07,1.32E-06,1.39E+02
7.00E+01,-5.92E-07,2.99E-08,5.93E-07,1.77E+02
7.20E+01,6.07E-08,-8.26E-07,8.28E-07,-8.58E+01
7.40E+01,5.88E-07,-8.21E-07,1.01E-06,-5.44E+01
7.60E+01,5.04E-07,5.44E-07,7.42E-07,4.71E+01
7.80E+01,-4.65E-07,2.24E-06,2.29E-06,1.02E+02
8.00E+01,-1.37E-06,2.75E-06,3.07E-06,1.16E+02
8.20E+01,-1.22E-06,2.45E-06,2.74E-06,1.16E+02
