Input File: 4192-12.78d
Measure Group: FFT
Measurement: FFT 2
Num of extracted Points: 801
Start Freq: -0 Hz
Span: 6.4 kHz
FFT Lines:  800 
Window: BMH
Averaging Mode: None

    X[Hz]          R[Vpk]         I[Vpk]        Mag[Vpk]        P[deg]     
  0.000000e+00   2.427404e-05  -2.810193e-08   2.427406e-05  -6.633099e-02 
  8.000000e+00   1.424328e-05  -2.238129e-06   1.441806e-05  -8.930191e+00 
  1.600000e+01   1.427775e-06  -5.646255e-06   5.823980e-06  -7.580903e+01 
  2.400000e+01  -2.629343e-06  -6.463500e-06   6.977842e-06  -1.121364e+02 
  3.200000e+01  -5.680492e-06  -2.869377e-06   6.364064e-06  -1.532004e+02 
  4.000000e+01  -8.005145e-06  -2.559095e-06   8.404244e-06  -1.622719e+02 
  4.800000e+01  -9.805682e-06  -1.485177e-05   1.779681e-05  -1.234342e+02 
  5.600000e+01  -1.171821e-05  -3.203132e-05   3.410751e-05  -1.100943e+02 
  6.400000e+01  -1.054959e-05  -3.259136e-05   3.425625e-05  -1.079364e+02 
  7.200000e+01  -6.513272e-06  -1.749923e-05   1.867206e-05  -1.104154e+02 
  8.000000e+01  -2.015373e-06  -6.066272e-06   6.392291e-06  -1.083778e+02 
  8.800000e+01   1.126407e-06  -2.231121e-06   2.499339e-06  -6.321254e+01 
  9.600000e+01  -1.960838e-08  -1.632854e-06   1.632972e-06  -9.068801e+01 
  1.040000e+02  -2.450102e-06  -2.377874e-06   3.414277e-06  -1.358571e+02 
  1.120000e+02  -7.106689e-07  -1.565788e-06   1.719518e-06  -1.144120e+02 
  1.200000e+02   1.192065e-07   5.868017e-07   5.987874e-07   7.851684e+01 
  1.280000e+02  -2.355552e-06  -7.399363e-07   2.469035e-06  -1.625612e+02 
  1.360000e+02   5.076145e-06   9.610392e-07   5.166318e-06   1.072061e+01 
  1.440000e+02   1.406964e-05   1.346329e-05   1.947344e-05   4.373838e+01 
  1.520000e+02   5.536102e-06   1.446172e-05   1.548515e-05   6.905261e+01 
  1.600000e+02  -9.903623e-07  -2.658803e-07   1.025432e-06  -1.649723e+02 
  1.680000e+02   1.727516e-06  -3.609660e-06   4.001744e-06  -6.442509e+01 
  1.760000e+02  -3.190389e-06  -2.200534e-07   3.197969e-06  -1.760543e+02 
  1.840000e+02  -6.980566e-06  -3.536093e-06   7.825104e-06  -1.531349e+02 
  1.920000e+02  -8.656201e-07  -4.716499e-06   4.795274e-06  -1.003998e+02 
  2.000000e+02   2.934087e-06   4.813077e-07   2.973302e-06   9.315830e+00 
  2.080000e+02  -1.414080e-06   3.088586e-06   3.396908e-06   1.146002e+02 
  2.160000e+02  -3.940830e-06  -8.673121e-07   4.035142e-06  -1.675880e+02 
  2.240000e+02   5.747999e-07  -3.191210e-06   3.242564e-06  -7.978938e+01 
  2.320000e+02   3.468452e-06   6.517250e-07   3.529151e-06   1.064184e+01 
  2.400000e+02  -2.425380e-07   2.685325e-06   2.696256e-06   9.516093e+01 
  2.480000e+02  -2.313689e-06  -1.512523e-06   2.764215e-06  -1.468262e+02 
  2.560000e+02   2.130728e-06  -3.153589e-06   3.805932e-06  -5.595500e+01 
  2.640000e+02   4.354042e-06   2.088414e-06   4.828991e-06   2.562468e+01 
  2.720000e+02  -3.666741e-07   4.051125e-06   4.067685e-06   9.517184e+01 
  2.800000e+02  -2.387001e-06  -1.567690e-06   2.855770e-06  -1.467046e+02 
  2.880000e+02   2.394677e-06  -4.316998e-06   4.936694e-06  -6.098248e+01 
  2.960000e+02   3.078402e-06   7.205712e-07   3.161611e-06   1.317421e+01 
  3.040000e+02  -4.061641e-06   2.425332e-06   4.730663e-06   1.491573e+02 
  3.120000e+02  -5.679469e-06  -4.135714e-06   7.025702e-06  -1.439384e+02 
  3.200000e+02   2.595079e-06  -5.657434e-06   6.224226e-06  -6.535896e+01 
  3.280000e+02   5.057982e-06   2.853894e-06   5.807573e-06   2.943324e+01 
  3.360000e+02  -4.131247e-06   4.704184e-06   6.260715e-06   1.312898e+02 
  3.440000e+02  -6.132089e-06  -5.549707e-06   8.270536e-06  -1.378540e+02 
  3.520000e+02   5.674645e-06  -6.945996e-06   8.969307e-06  -5.075233e+01 
  3.600000e+02   7.158709e-06   6.910282e-06   9.949829e-06   4.398839e+01 
  3.680000e+02  -9.345416e-06   7.447426e-06   1.194994e-05   1.414484e+02 
